backend,n_qubits,state_type,state_index,shots_per_setting,settings,method,fidelity,hs_distance,estimated_purity,minimum_eigenvalue,reconstruction_seconds
numpy,3,mixed,1,100,27,projected,0.813850194288457,0.22191924431023302,0.26632689795461684,-7.634233865928489e-17,0.00013704199227504432
numpy,3,mixed,1,100,27,low_rank,0.37154215679621483,0.7147737663962601,0.9999999999999996,-7.463788302305351e-17,0.00012070900993421674
numpy,3,mixed,1,100,27,shrinkage,0.820457331515526,0.22137634436828185,0.2533373989018154,-9.003610422092873e-18,0.00018149998504668474
numpy,3,mixed,1,100,27,mle,0.8800709496822136,0.14524607172846113,0.2698945737987678,4.170171173299554e-13,0.10563995799748227
numpy,3,mixed,1,500,27,linear,0.9997556308856049,0.13058833185874158,0.279284,-0.04428089738299338,0.001346125005511567
numpy,3,mixed,1,500,27,projected,0.9467897352937616,0.11255091480966938,0.25799903316363054,-8.373216612767441e-18,0.00014062499394640326
numpy,3,mixed,1,500,27,low_rank,0.3752924643424619,0.7095075271936978,1.0,-5.944543397853142e-17,0.000124167010653764
numpy,3,mixed,1,500,27,shrinkage,0.949467822991379,0.11377696046487888,0.2406458835292074,7.353012339126738e-18,0.0001830830005928874
numpy,3,mixed,1,500,27,mle,0.9555825221627271,0.09068675673552531,0.2593755030780388,5.58330078054866e-13,0.10668887500651181
numpy,3,mixed,2,100,27,linear,0.9135977198498004,0.25859671499899706,0.3182,-0.06747972197913935,0.0013525420217774808
numpy,3,mixed,2,100,27,projected,0.8391154223308883,0.2197311766376013,0.2767463437864708,-8.146032605287325e-17,0.00013591599417850375
numpy,3,mixed,2,100,27,low_rank,0.36445885622425866,0.7207983206810035,1.0000000000000004,-6.820028481042259e-17,0.00012204100494273007
numpy,3,mixed,2,100,27,shrinkage,0.848084631914476,0.210806879301402,0.2558312051337074,-2.1432606515181855e-17,0.0001824169885367155
numpy,3,mixed,2,100,27,mle,0.8810270435071136,0.18335448003137178,0.2650847865921604,2.5294288831411756e-13,0.10616937500890344
numpy,3,mixed,2,500,27,linear,0.9587985890998808,0.12108125170525591,0.24549200000000002,-0.01144884520664351,0.0013665839796885848
numpy,3,mixed,2,500,27,projected,0.95129971433126,0.1189337790294261,0.24207110016202762,-5.3779268538995526e-17,0.0001379589957650751
numpy,3,mixed,2,500,27,low_rank,0.38584431966766947,0.6904920462042491,1.0000000000000038,-1.274452910264653e-16,0.00012158398749306798
numpy,3,mixed,2,500,27,shrinkage,0.95507791293502,0.12123164385457073,0.22259852000000022,0.0021960393140208244,0.00018087500939145684
numpy,3,mixed,2,500,27,mle,0.9717058591412102,0.08013849734671985,0.24318139478090334,1.1680433022209234e-12,0.10702799999853596
