replicate,noise_case,method,fidelity_to_reconstruction_target,fidelity_to_ideal_pre_noise_state,ideal_to_target_fidelity,hs_distance_to_target,minimum_eigenvalue,physical,inference_seconds
2,finite_shots_only,maximum_likelihood,0.9749998966106276,0.9749998966106276,1.0,0.04991587638508094,9.991092131340342e-14,True,0.0714310830226168
2,finite_shots_only,neural_network,0.8605890889765399,0.8605890889765399,1.0,0.3477403192323553,0.002784126618292303,True,0.00021579200983978808
2,global_depolarizing_p08,linear_inversion,0.9772334846926253,0.934541292575219,0.9400000207620901,0.07592141331232882,-0.005531758718467362,False,0.0003547079977579415
2,global_depolarizing_p08,maximum_likelihood,0.9717330938892503,0.9282653362381822,0.9400000207620901,0.056178277849403255,6.246942353366688e-13,True,0.07089387500309385
2,global_depolarizing_p08,neural_network,0.9299040077852128,0.8514402614804899,0.9400000207620901,0.32286849848987,0.0070649198813411964,True,0.00021008402109146118
2,amplitude_damping_p08,linear_inversion,0.9877660590447901,0.9187469065052948,0.9273541978761626,0.07925755781765766,-0.027136976907472233,False,0.000354750023689121
2,amplitude_damping_p08,maximum_likelihood,0.9825913343919244,0.9139840289760768,0.9273541978761626,0.06132520455919713,2.618145660313461e-13,True,0.07038924997323193
2,amplitude_damping_p08,neural_network,0.912137324656752,0.7875395138636977,0.9273541978761626,0.3715097795461462,0.007298929168779369,True,0.00020654199761338532
2,phase_damping_p08,linear_inversion,0.9982001633315735,0.970697623969699,0.9285700284723274,0.09937106903109101,-0.027021808014330007,False,0.000514333019964397
2,phase_damping_p08,maximum_likelihood,0.9675222970058727,0.9482913118939956,0.9285700284723274,0.0754520850898514,8.803449849073933e-13,True,0.07080537499859929
2,phase_damping_p08,neural_network,0.9193357970308642,0.8255278842815341,0.9285700284723274,0.34687636227319335,0.009252969303932003,True,0.0002099999983329326
2,biased_pauli_02_01_05,linear_inversion,0.9750604468110037,0.8712718712776243,0.8744772426913185,0.07272783015143633,0.005381713191423809,True,0.0003490000090096146
2,biased_pauli_02_01_05,maximum_likelihood,0.9746449088251555,0.8752741895858902,0.8744772426913185,0.0733456533909502,0.003673860287359945,True,0.07091270800447091
