sample,state_type,shots_per_setting,method,hs_distance,fidelity,minimum_eigenvalue,inference_seconds
25,haar,500,neural_network,0.10163452656498366,0.9865488881948192,1.1723578237108685e-05,5.841699930897448e-05
26,mixed,500,linear_inversion,0.07664588112712897,0.998596964052761,-0.005655716993452123,0.00019608399998105597
26,mixed,500,maximum_likelihood,0.05016890074947854,0.9963006963608565,7.032474413624442e-13,0.021564874999967287
26,mixed,500,neural_network,0.2392891007528356,0.9228835384650643,0.03273843307351245,5.820799924549647e-05
27,product,500,linear_inversion,0.12207301852752492,0.9713971081448736,-0.02969968296817723,0.0002116249997925479
27,product,500,maximum_likelihood,0.03952666233612301,0.9837512096750194,7.774638454609735e-17,0.02160908299993025
27,product,500,neural_network,0.27631661286479087,0.892080866522284,2.6784913292081562e-05,5.679099922417663e-05
28,haar,500,linear_inversion,0.0912146979527298,0.968733952873836,-0.024526054742356123,0.00020354200023575686
28,haar,500,maximum_likelihood,0.053786751657073605,0.9713811423038331,4.7613488941934696e-15,0.02157466700009536
28,haar,500,neural_network,0.5180648715298902,0.8463417962136858,1.0550080343042648e-06,5.1125000027241185e-05
29,mixed,500,linear_inversion,0.08271463173917772,1.0,-0.03658652473320531,0.00019495899869070854
29,mixed,500,maximum_likelihood,0.057606794460616735,0.9851264751063057,4.319141713705816e-13,0.018436542000927147
29,mixed,500,neural_network,0.2748571440865107,0.9082013066346148,0.048897945084282725,5.545800013351254e-05
30,product,500,linear_inversion,0.05656188290098787,0.9986823939845451,-0.02662164903555128,0.00020016700000269338
30,product,500,maximum_likelihood,0.04184031427827879,0.9938572415693443,2.1915233119924237e-17,0.021604290999675868
30,product,500,neural_network,0.21646824050301203,0.9694347661306965,0.00018719094503064445,5.545800013351254e-05
31,haar,500,linear_inversion,0.06676425430159372,0.9937352829605156,-0.015028785758448033,0.0001961250000022119
31,haar,500,maximum_likelihood,0.03226807702404724,0.9855724320195256,3.1623972059864836e-14,0.021554124999966007
31,haar,500,neural_network,0.3832324563354215,0.9033937853482524,3.056041800353536e-06,5.5124999562394805e-05
32,mixed,500,linear_inversion,0.10539532342017373,0.9965434157864008,-0.028061642122712047,0.00021704200116801076
32,mixed,500,maximum_likelihood,0.07517161743313769,0.9767685674310921,1.126661562290855e-12,0.02157508300115296
32,mixed,500,neural_network,0.29647686132687434,0.9140231870781688,0.008900401021316812,5.5124999562394805e-05
33,product,500,linear_inversion,0.07167450869813642,1.0,-0.03973386128903662,0.00021004100017307792
33,product,500,maximum_likelihood,0.04976337346705124,0.9928153466672531,3.5773745373955975e-14,0.021514209000088158
33,product,500,neural_network,0.21001321774767617,0.9607573383952436,4.1318214230135774e-05,5.824999971082434e-05
34,haar,500,linear_inversion,0.08327346844475789,0.972788796177354,-0.023729396504485783,0.00019608399998105597
34,haar,500,maximum_likelihood,0.046703425585106643,0.983863024908094,6.536545910951507e-14,0.020931875000314903
34,haar,500,neural_network,0.33264012551141325,0.9082799497245091,0.0006972390663045678,5.654199958371464e-05
35,mixed,500,linear_inversion,0.10407977164491586,0.9828957038606683,0.009448507202498584,0.00020033299915667158
35,mixed,500,maximum_likelihood,0.06747904811401634,0.9938835580372738,0.021659681104663892,0.02132937500027765
35,mixed,500,neural_network,0.3299771831273303,0.9162527296459858,0.04553454562035677,6.0541000493685715e-05
36,product,500,linear_inversion,0.06446244558832047,1.0,-0.026578761191576965,0.00019912500101781916
36,product,500,maximum_likelihood,0.035891126426031955,0.9981556088020133,2.736971441109432e-15,0.022087166998971952
36,product,500,neural_network,0.3126631650883633,0.9036513102678432,1.955338592992913e-10,6.783299977541901e-05
37,haar,500,linear_inversion,0.07623508666411473,0.999810115480493,-0.036176579237310776,0.00019808399883913808
