n_qubits,state_type,observable,observable_weight,method,requested_copy_budget,mean_actual_total_copies,mean_collection_total_copies,replicates,bias,mae,rmse,p90_absolute_error,physical_fraction
2,haar,ZI,1,neural_network,180,180.0,180.0,20,-0.05540934859886711,0.2128378153078613,0.25924061299877577,0.39193438670719005,1.0
2,haar,ZI,1,neural_network,450,450.0,450.0,20,-0.05720915720878951,0.14102949354065997,0.18149090509579738,0.32076805709293593,1.0
2,haar,ZI,1,neural_network,900,900.0,900.0,20,-0.031711686225988724,0.17966792081313745,0.23119513843650766,0.3633142019746391,1.0
2,haar,ZI,1,neural_network,1800,1800.0,1800.0,20,-0.028458933128222962,0.129040199242137,0.1703964715161013,0.26293999836692894,1.0
2,haar,ZI,1,neural_network,4500,4500.0,4500.0,20,-0.040708737309880075,0.14541753294997634,0.19357642069369282,0.3072862649194456,1.0
2,haar,ZI,1,rank_one_mle,90,90.0,90.0,20,0.045449472578834194,0.11180978501302226,0.14307596630647096,0.26016236860815667,1.0
2,haar,ZI,1,rank_one_mle,180,180.0,180.0,20,-0.00885511522195411,0.08396486369724847,0.10255165724105188,0.15040883517589812,1.0
2,haar,ZI,1,rank_one_mle,450,450.0,450.0,20,0.0009306464304240064,0.0455610345304755,0.05480136029698571,0.08522107785927067,1.0
2,haar,ZI,1,rank_one_mle,900,900.0,900.0,20,0.0057356554983481745,0.04230294194323371,0.052373514059253674,0.07694384490610359,1.0
2,haar,ZI,1,rank_one_mle,1800,1800.0,1800.0,20,0.005598693178155209,0.019844632099842212,0.023745354778451848,0.03639725203704146,1.0
2,haar,ZI,1,rank_one_mle,4500,4500.0,4500.0,20,0.0011560161375035766,0.017634336043435058,0.022039273669427307,0.03540517349809321,1.0
2,haar,ZZ,2,classical_shadow,90,90.0,90.0,20,-0.056965506539652766,0.23361005904572568,0.2837819251391769,0.4603851691134946,not_applicable
2,haar,ZZ,2,classical_shadow,180,180.0,180.0,20,-0.0594655065396528,0.17421356491211365,0.24469747181680984,0.45280259340443507,not_applicable
2,haar,ZZ,2,classical_shadow,450,450.0,450.0,20,-0.003965506539652777,0.0794713745824796,0.09874477334114255,0.160261307090095,not_applicable
2,haar,ZZ,2,classical_shadow,900,900.0,900.0,20,0.029534493460347217,0.07354692707092231,0.09461539834155834,0.14863899759197327,not_applicable
2,haar,ZZ,2,classical_shadow,1800,1800.0,1800.0,20,0.004534493460347222,0.05459899858869284,0.06455653407801547,0.10456456187220638,not_applicable
2,haar,ZZ,2,classical_shadow,4500,4500.0,4500.0,20,0.0004344934603472253,0.026639097826287463,0.03427303995694706,0.058137151352818134,not_applicable
2,haar,ZZ,2,direct_split_collection_budget,90,22.0,88.0,20,-0.029238233812380044,0.12466255924400585,0.1533844758263805,0.22502475231374122,not_applicable
2,haar,ZZ,2,direct_split_collection_budget,180,45.0,180.0,20,0.018034493460347224,0.07933907001230439,0.09605489048337301,0.16713445077979752,not_applicable
2,haar,ZZ,2,direct_split_collection_budget,450,112.0,448.0,20,-0.025179792253938498,0.06908047312542032,0.08981612636179596,0.14467236631637756,not_applicable
2,haar,ZZ,2,direct_split_collection_budget,900,225.0,900.0,20,-0.015298839872986105,0.05660061505351773,0.07254292180767437,0.12858302908671534,not_applicable
2,haar,ZZ,2,direct_split_collection_budget,1800,450.0,1800.0,20,0.016034493460347226,0.04232191668791001,0.0501123160138796,0.08097718447561623,not_applicable
2,haar,ZZ,2,direct_split_collection_budget,4500,1125.0,4500.0,20,0.0059456045714583305,0.020044086868304323,0.02512371376476958,0.0428499562591443,not_applicable
2,haar,ZZ,2,direct_targeted_pauli,90,90.0,360.0,20,-0.013076617650763886,0.06079119429791461,0.077538528914052,0.12725886438721984,not_applicable
2,haar,ZZ,2,direct_targeted_pauli,180,180.0,720.0,20,0.002478937904791667,0.06171817519379079,0.07331215776829393,0.12459561856066509,not_applicable
2,haar,ZZ,2,direct_targeted_pauli,450,450.0,1800.0,20,-0.005076617650763884,0.02185981945680754,0.027234161609683272,0.04370166828792622,not_applicable
2,haar,ZZ,2,direct_targeted_pauli,900,900.0,3600.0,20,-0.005743284317430544,0.022253100974079128,0.02760344903563347,0.042423033690530965,not_applicable
2,haar,ZZ,2,direct_targeted_pauli,1800,1800.0,7200.0,20,0.0009789379047916592,0.015024547894101136,0.01933331764250334,0.03129564285596737,not_applicable
2,haar,ZZ,2,direct_targeted_pauli,4500,4500.0,18000.0,20,0.0013456045714583336,0.007597511621035438,0.008603451056639184,0.011969367767677475,not_applicable
2,haar,ZZ,2,linear_inversion,90,90.0,90.0,20,-0.021965506539652773,0.22279841580903686,0.2732423109741453,0.4793720850000476,0.0
2,haar,ZZ,2,linear_inversion,180,180.0,180.0,20,-0.04196550653965277,0.17640421530818448,0.2132409855977494,0.3428085533889842,0.0
2,haar,ZZ,2,linear_inversion,450,450.0,450.0,20,-0.0019655065396528004,0.08080087295498146,0.10267504237387332,0.14941463773088487,0.0
2,haar,ZZ,2,linear_inversion,900,900.0,900.0,20,-0.0009655065396527704,0.05581802743948211,0.06671159137384859,0.095624102377083,0.0
2,haar,ZZ,2,linear_inversion,1800,1800.0,1800.0,20,-0.0014655065396527583,0.05946620107279964,0.06806411267967784,0.10310294338888457,0.0
2,haar,ZZ,2,linear_inversion,4500,4500.0,4500.0,20,0.001634493460347225,0.046827322543235864,0.0528361662887717,0.07529165815383783,0.0
2,haar,ZZ,2,neural_network,90,90.0,90.0,20,-0.0639647041735346,0.25699548585784465,0.30954548464019904,0.5519033569915279,1.0
2,haar,ZZ,2,neural_network,180,180.0,180.0,20,-0.10274037497093638,0.1637466819649322,0.20074714889558357,0.3385105776063274,1.0
2,haar,ZZ,2,neural_network,450,450.0,450.0,20,-0.1448267665619562,0.1702877045534595,0.2037007541826684,0.3069711682963722,1.0
2,haar,ZZ,2,neural_network,900,900.0,900.0,20,-0.0622857307734471,0.11963745260764007,0.14711723538572966,0.22978306835149562,1.0
2,haar,ZZ,2,neural_network,1800,1800.0,1800.0,20,-0.06393080398663215,0.11876762444909958,0.1412378799783263,0.2170061152897298,1.0
2,haar,ZZ,2,neural_network,4500,4500.0,4500.0,20,-0.08481138717702714,0.11211240234509254,0.13191309128886336,0.18262991390834216,1.0
2,haar,ZZ,2,rank_one_mle,90,90.0,90.0,20,-0.009148869954293837,0.10393705865471174,0.13046347813709566,0.22902747680972735,1.0
2,haar,ZZ,2,rank_one_mle,180,180.0,180.0,20,-0.05979023993151067,0.08294240884225604,0.10784458605865328,0.2051857198985209,1.0
2,haar,ZZ,2,rank_one_mle,450,450.0,450.0,20,-0.00022805696853586132,0.045337971033403576,0.05635526648843863,0.09092599987890336,1.0
2,haar,ZZ,2,rank_one_mle,900,900.0,900.0,20,0.007075020276181997,0.044988646923762164,0.055635978605685324,0.09571570927331093,1.0
2,haar,ZZ,2,rank_one_mle,1800,1800.0,1800.0,20,0.0012475787573764225,0.018438610918686888,0.023780632745014532,0.038760100853131835,1.0
2,haar,ZZ,2,rank_one_mle,4500,4500.0,4500.0,20,-0.0019503433219121749,0.015476060664086702,0.019857090753942378,0.031974744697095006,1.0
2,product,IZ,1,classical_shadow,90,90.0,90.0,20,-0.02067095318080381,0.13995099056518767,0.17211535029877909,0.27007783795051793,not_applicable
2,product,IZ,1,classical_shadow,180,180.0,180.0,20,-0.025670953180803806,0.10900685675722803,0.1274174367992064,0.21270917148507165,not_applicable
2,product,IZ,1,classical_shadow,450,450.0,450.0,20,-0.003670953180803799,0.07408695163631185,0.08769859257853811,0.1601189331248633,not_applicable
2,product,IZ,1,classical_shadow,900,900.0,900.0,20,-0.0013376198474704683,0.040609024747623346,0.04815280926159143,0.0739736988665684,not_applicable
2,product,IZ,1,classical_shadow,1800,1800.0,1800.0,20,-0.0037542865141371286,0.03433114697959563,0.038718424434077935,0.06004328899568852,not_applicable
2,product,IZ,1,classical_shadow,4500,4500.0,4500.0,20,-0.0015709531808038024,0.020516654090306046,0.02338467403014739,0.03299737299184102,not_applicable
2,product,IZ,1,direct_split_collection_budget,90,22.0,88.0,20,-0.0015800440898947332,0.14780431680567638,0.1759513016955063,0.22944361630937227,not_applicable
2,product,IZ,1,direct_split_collection_budget,180,45.0,180.0,20,-0.0017820642919149116,0.056202959955701584,0.07102474215494367,0.11944389206223512,not_applicable
2,product,IZ,1,direct_split_collection_budget,450,112.0,448.0,20,-0.013349524609375241,0.06075271805959914,0.07905471935003429,0.11320761618557106,not_applicable
