n_qubits,state_type,replicate,observable,observable_weight,method,requested_copy_budget,actual_total_copies,collection_total_copies,shots_per_qst_setting,exact_expectation,estimated_expectation,error,absolute_error,squared_error,estimate_standard_error,estimate_physical,inference_seconds
2,haar,15,ZZ,2,rank_one_mle,450,450,450,50,0.4497278978401492,0.37345435302640834,-0.07627354481374088,0.07627354481374088,0.0058176536384537385,not_available,True,0.020890958
2,haar,15,ZZ,2,neural_network,450,450,450,50,0.4497278978401492,0.10983729036405154,-0.3398906074760977,0.3398906074760977,0.1155256250504707,not_available,True,0.000212458
2,haar,15,XX,2,classical_shadow,450,450,450,not_applicable,-0.29451344370890625,-0.36,-0.06548655629109373,0.06548655629109373,0.004288489054866588,0.1461487785745809,not_applicable,not_recorded_separately
2,haar,15,XX,2,direct_targeted_pauli,450,450,1800,one_targeted_setting,-0.29451344370890625,-0.3333333333333333,-0.03881988962442706,0.03881988962442706,0.0015069838304526998,0.044444444444444446,not_applicable,not_recorded_separately
2,haar,15,XX,2,direct_split_collection_budget,450,112,448,one_targeted_setting_per_observable,-0.29451344370890625,-0.2857142857142857,0.008799157994620554,0.008799157994620554,7.742518141429481e-05,0.09055224157805536,not_applicable,not_recorded_separately
2,haar,15,XX,2,linear_inversion,450,450,450,50,-0.29451344370890625,-0.24,0.05451344370890626,0.05451344370890626,0.0029717155450040915,not_available,False,0.000360292
2,haar,15,XX,2,rank_one_mle,450,450,450,50,-0.29451344370890625,-0.2218795909297297,0.07263385277917656,0.07263385277917656,0.0052756765695470935,not_available,True,0.020890958
2,haar,15,XX,2,neural_network,450,450,450,50,-0.29451344370890625,0.019889405880493594,0.31440284958939985,0.31440284958939985,0.09884915182993478,not_available,True,0.000212458
2,haar,15,ZI,1,classical_shadow,900,900,900,not_applicable,-0.3929098321061448,-0.39666666666666667,-0.0037568345605218934,0.0037568345605218934,1.4113805915131727e-05,0.053494727064962104,not_applicable,not_recorded_separately
2,haar,15,ZI,1,direct_targeted_pauli,900,900,3600,one_targeted_setting,-0.3929098321061448,-0.35555555555555557,0.037354276550589205,0.037354276550589205,0.0013953419766178986,0.03115517162194532,not_applicable,not_recorded_separately
2,haar,15,ZI,1,direct_split_collection_budget,900,225,900,one_targeted_setting_per_observable,-0.3929098321061448,-0.4311111111111111,-0.03820127900496634,0.03820127900496634,0.0014593377176152819,0.060153256488056986,not_applicable,not_recorded_separately
2,haar,15,ZI,1,linear_inversion,900,900,900,100,-0.3929098321061448,-0.24,0.15290983210614478,0.15290983210614478,0.023381416754729385,not_available,False,0.000367333
2,haar,15,ZI,1,rank_one_mle,900,900,900,100,-0.3929098321061448,-0.34793081074697385,0.04497902135917092,0.04497902135917092,0.002023112362428754,not_available,True,0.019841666
2,haar,15,ZI,1,neural_network,900,900,900,100,-0.3929098321061448,-0.390132194849809,0.0027776372563357854,0.0027776372563357854,7.715268727784589e-06,not_available,True,0.00021225
2,haar,15,IZ,1,classical_shadow,900,900,900,not_applicable,-0.4268757046030759,-0.47,-0.043124295396924084,0.043124295396924084,0.0018597048534811677,0.05509724439913668,not_applicable,not_recorded_separately
2,haar,15,IZ,1,direct_targeted_pauli,900,900,3600,one_targeted_setting,-0.4268757046030759,-0.4022222222222222,0.024653482380853686,0.024653482380853686,0.0006077941935030631,0.030518069036603677,not_applicable,not_recorded_separately
2,haar,15,IZ,1,direct_split_collection_budget,900,225,900,one_targeted_setting_per_observable,-0.4268757046030759,-0.28,0.14687570460307586,0.14687570460307586,0.02157247260265,0.064,not_applicable,not_recorded_separately
2,haar,15,IZ,1,linear_inversion,900,900,900,100,-0.4268757046030759,-0.38,0.046875704603075885,0.046875704603075885,0.0021973316820348295,not_available,False,0.000367333
2,haar,15,IZ,1,rank_one_mle,900,900,900,100,-0.4268757046030759,-0.3645491128877507,0.062326591715325175,0.062326591715325175,0.0038846040348488407,not_available,True,0.019841666
2,haar,15,IZ,1,neural_network,900,900,900,100,-0.4268757046030759,-0.6044770249329781,-0.17760132032990217,0.17760132032990217,0.03154222898292452,not_available,True,0.00021225
2,haar,15,ZZ,2,classical_shadow,900,900,900,not_applicable,0.4497278978401492,0.42,-0.02972789784014923,0.02972789784014923,0.0008837479099943493,0.0917243052011154,not_applicable,not_recorded_separately
2,haar,15,ZZ,2,direct_targeted_pauli,900,900,3600,one_targeted_setting,0.4497278978401492,0.4088888888888889,-0.0408390089512603,0.0408390089512603,0.001667824652121119,0.03041947250151181,not_applicable,not_recorded_separately
2,haar,15,ZZ,2,direct_split_collection_budget,900,225,900,one_targeted_setting_per_observable,0.4497278978401492,0.37777777777777777,-0.07195012006237145,0.07195012006237145,0.005176819776989666,0.06172641972148047,not_applicable,not_recorded_separately
2,haar,15,ZZ,2,linear_inversion,900,900,900,100,0.4497278978401492,0.4600000000000001,0.01027210215985086,0.01027210215985086,0.0001055160827824127,not_available,False,0.000367333
2,haar,15,ZZ,2,rank_one_mle,900,900,900,100,0.4497278978401492,0.4321645772079632,-0.01756332063218602,0.01756332063218602,0.0003084702316289711,not_available,True,0.019841666
2,haar,15,ZZ,2,neural_network,900,900,900,100,0.4497278978401492,0.48754829370098074,0.037820395860831524,0.037820395860831524,0.0014303823430700023,not_available,True,0.00021225
2,haar,15,XX,2,classical_shadow,900,900,900,not_applicable,-0.29451344370890625,-0.23,0.06451344370890624,0.06451344370890624,0.004161984419182215,0.10125519253634777,not_applicable,not_recorded_separately
2,haar,15,XX,2,direct_targeted_pauli,900,900,3600,one_targeted_setting,-0.29451344370890625,-0.2511111111111111,0.043402332597795135,0.043402332597795135,0.00188376247492963,0.032265275622159764,not_applicable,not_recorded_separately
2,haar,15,XX,2,direct_split_collection_budget,900,225,900,one_targeted_setting_per_observable,-0.29451344370890625,-0.31555555555555553,-0.02104211184664928,0.02104211184664928,0.000442770470966898,0.0632604735766875,not_applicable,not_recorded_separately
2,haar,15,XX,2,linear_inversion,900,900,900,100,-0.29451344370890625,-0.12,0.17451344370890626,0.17451344370890626,0.030454942035141593,not_available,False,0.000367333
2,haar,15,XX,2,rank_one_mle,900,900,900,100,-0.29451344370890625,-0.29301708722388536,0.0014963564850208888,0.0014963564850208888,2.2390827302640694e-06,not_available,True,0.019841666
2,haar,15,XX,2,neural_network,900,900,900,100,-0.29451344370890625,-0.2646042413515038,0.029909202357402465,0.029909202357402465,0.0008945603856560492,not_available,True,0.00021225
2,haar,15,ZI,1,classical_shadow,1800,1800,1800,not_applicable,-0.3929098321061448,-0.4116666666666667,-0.018756834560521907,0.018756834560521907,0.000351818842730789,0.039840779243036396,not_applicable,not_recorded_separately
2,haar,15,ZI,1,direct_targeted_pauli,1800,1800,7200,one_targeted_setting,-0.3929098321061448,-0.4033333333333333,-0.010423501227188547,0.010423501227188547,0.00010864937783320115,0.021568009002818946,not_applicable,not_recorded_separately
2,haar,15,ZI,1,direct_split_collection_budget,1800,450,1800,one_targeted_setting_per_observable,-0.3929098321061448,-0.4088888888888889,-0.01597905678274414,0.01597905678274414,0.0002553302556661615,0.04301963057187343,not_applicable,not_recorded_separately
2,haar,15,ZI,1,linear_inversion,1800,1800,1800,200,-0.3929098321061448,-0.3899999999999999,0.0029098321061448718,0.0029098321061448718,8.4671228859515e-06,not_available,False,0.000351334
2,haar,15,ZI,1,rank_one_mle,1800,1800,1800,200,-0.3929098321061448,-0.40300062972239004,-0.010090797616245262,0.010090797616245262,0.00010182419653202105,not_available,True,0.016421542
2,haar,15,ZI,1,neural_network,1800,1800,1800,200,-0.3929098321061448,-0.4196081696327981,-0.02669833752665335,0.02669833752665335,0.0007128012266871065,not_available,True,0.000211584
2,haar,15,IZ,1,classical_shadow,1800,1800,1800,not_applicable,-0.4268757046030759,-0.46,-0.03312429539692413,0.03312429539692413,0.0010972189455426891,0.03958090622831119,not_applicable,not_recorded_separately
2,haar,15,IZ,1,direct_targeted_pauli,1800,1800,7200,one_targeted_setting,-0.4268757046030759,-0.41888888888888887,0.007986815714187023,0.007986815714187023,6.378922525238477e-05,0.021402649093115036,not_applicable,not_recorded_separately
2,haar,15,IZ,1,direct_split_collection_budget,1800,450,1800,one_targeted_setting_per_observable,-0.4268757046030759,-0.4222222222222222,0.0046534823808536685,0.0046534823808536685,2.165489826891553e-05,0.04273245956105469,not_applicable,not_recorded_separately
2,haar,15,IZ,1,linear_inversion,1800,1800,1800,200,-0.4268757046030759,-0.3899999999999999,0.03687570460307599,0.03687570460307599,0.0013598175899733195,not_available,False,0.000351334
2,haar,15,IZ,1,rank_one_mle,1800,1800,1800,200,-0.4268757046030759,-0.38866921084831385,0.03820649375476204,0.03820649375476204,0.0014597361650326706,not_available,True,0.016421542
2,haar,15,IZ,1,neural_network,1800,1800,1800,200,-0.4268757046030759,-0.6020077542142752,-0.17513204961119933,0.17513204961119933,0.030671234801019583,not_available,True,0.000211584
2,haar,15,ZZ,2,classical_shadow,1800,1800,1800,not_applicable,0.4497278978401492,0.58,0.13027210215985074,0.13027210215985074,0.01697082060114659,0.06975538933516694,not_applicable,not_recorded_separately
2,haar,15,ZZ,2,direct_targeted_pauli,1800,1800,7200,one_targeted_setting,0.4497278978401492,0.4766666666666667,0.026938768826517467,0.026938768826517467,0.0007256972658885493,0.020720211400799635,not_applicable,not_recorded_separately
2,haar,15,ZZ,2,direct_split_collection_budget,1800,450,1800,one_targeted_setting_per_observable,0.4497278978401492,0.3688888888888889,-0.08083900895126034,0.08083900895126034,0.006534945368221949,0.043815800997010226,not_applicable,not_recorded_separately
2,haar,15,ZZ,2,linear_inversion,1800,1800,1800,200,0.4497278978401492,0.48,0.030272102159850767,0.030272102159850767,0.0009164001691764415,not_available,False,0.000351334
2,haar,15,ZZ,2,rank_one_mle,1800,1800,1800,200,0.4497278978401492,0.46810446533141103,0.01837656749126182,0.01837656749126182,0.0003376982327609007,not_available,True,0.016421542
2,haar,15,ZZ,2,neural_network,1800,1800,1800,200,0.4497278978401492,0.4621875162411999,0.012459618401050698,0.012459618401050698,0.00015524209069980115,not_available,True,0.000211584
2,haar,15,XX,2,classical_shadow,1800,1800,1800,not_applicable,-0.29451344370890625,-0.305,-0.01048655629109374,0.01048655629109374,0.0001099678628462777,0.07124703167119766,not_applicable,not_recorded_separately
2,haar,15,XX,2,direct_targeted_pauli,1800,1800,7200,one_targeted_setting,-0.29451344370890625,-0.29555555555555557,-0.0010421118466493184,0.0010421118466493184,1.0859971009268526e-06,0.022517239242414624,not_applicable,not_recorded_separately
2,haar,15,XX,2,direct_split_collection_budget,1800,450,1800,one_targeted_setting_per_observable,-0.29451344370890625,-0.39111111111111113,-0.09659766740220488,0.09659766740220488,0.009331109347546995,0.04338540714125052,not_applicable,not_recorded_separately
2,haar,15,XX,2,linear_inversion,1800,1800,1800,200,-0.29451344370890625,-0.41000000000000003,-0.11548655629109378,0.11548655629109378,0.013337144683975972,not_available,False,0.000351334
2,haar,15,XX,2,rank_one_mle,1800,1800,1800,200,-0.29451344370890625,-0.3037473152338171,-0.009233871524910842,0.009233871524910842,8.526438333855928e-05,not_available,True,0.016421542
2,haar,15,XX,2,neural_network,1800,1800,1800,200,-0.29451344370890625,-0.24355312824392478,0.050960315464981476,0.050960315464981476,0.00259695375229043,not_available,True,0.000211584
2,haar,15,ZI,1,classical_shadow,4500,4500,4500,not_applicable,-0.3929098321061448,-0.40066666666666667,-0.007756834560521897,0.007756834560521897,6.016848239930693e-05,0.02511350637239978,not_applicable,not_recorded_separately
2,haar,15,ZI,1,direct_targeted_pauli,4500,4500,18000,one_targeted_setting,-0.3929098321061448,-0.38622222222222224,0.0066876098839225295,0.0066876098839225295,4.472412595953831e-05,0.013750413287216968,not_applicable,not_recorded_separately
2,haar,15,ZI,1,direct_split_collection_budget,4500,1125,4500,one_targeted_setting_per_observable,-0.3929098321061448,-0.3848888888888889,0.008020943217255883,0.008020943217255883,6.433553009444315e-05,0.027517437594044118,not_applicable,not_recorded_separately
2,haar,15,ZI,1,linear_inversion,4500,4500,4500,500,-0.3929098321061448,-0.43999999999999995,-0.04709016789385517,0.04709016789385517,0.0022174839122714686,not_available,False,0.000352542
